,label
0,reggae
1,reggae
2,country
3,blues
4,metal
5,blues
6,rock
7,metal
8,blues
9,jazz
10,pop
11,metal
12,hiphop
13,metal
14,classical
15,pop
16,rock
17,pop
18,jazz
19,pop
20,blues
21,pop
22,reggae
23,rock
24,blues
25,jazz
26,disco
27,reggae
28,classical
29,hiphop
30,jazz
31,classical
32,disco
33,rock
34,blues
35,pop
36,metal
37,country
38,metal
39,rock
40,disco
41,metal
42,country
43,disco
44,disco
45,rock
46,classical
47,reggae
48,jazz
49,jazz
50,classical
51,pop
52,blues
53,hiphop
54,reggae
55,blues
56,metal
57,country
58,country
59,country
60,blues
61,rock
62,hiphop
63,disco
64,rock
65,blues
66,rock
67,country
68,country
69,hiphop
70,metal
71,classical
72,blues
73,classical
74,metal
75,blues
76,hiphop
77,blues
78,rock
79,disco
80,pop
81,jazz
82,hiphop
83,rock
84,disco
85,pop
86,hiphop
87,metal
88,classical
89,blues
90,reggae
91,rock
92,hiphop
93,hiphop
94,jazz
95,jazz
96,hiphop
97,metal
98,jazz
99,country
100,classical
101,hiphop
102,pop
103,disco
104,classical
105,country
106,disco
107,metal
108,blues
109,rock
110,blues
111,reggae
112,reggae
113,hiphop
114,metal
115,classical
116,blues
117,classical
118,reggae
119,pop
120,hiphop
121,jazz
122,pop
123,disco
124,disco
125,pop
126,pop
127,country
128,metal
129,classical
130,disco
131,country
132,pop
133,classical
134,country
135,rock
136,jazz
137,rock
138,pop
139,disco
140,jazz
141,metal
142,reggae
143,jazz
144,blues
145,hiphop
146,rock
147,hiphop
148,reggae
149,rock
150,reggae
151,reggae
152,metal
153,classical
154,metal
155,rock
156,jazz
157,rock
158,rock
159,metal
160,metal
161,country
162,disco
163,pop
164,rock
165,reggae
166,hiphop
167,reggae
168,pop
169,pop
170,hiphop
171,reggae
172,blues
173,pop
174,rock
175,jazz
176,pop
177,hiphop
178,pop
179,hiphop
180,hiphop
181,rock
182,disco
183,rock
184,reggae
185,classical
186,classical
187,classical
188,blues
189,rock
190,rock
191,classical
192,blues
193,classical
194,disco
195,country
196,jazz
197,jazz
198,jazz
199,rock
200,blues
201,jazz
202,classical
203,rock
204,country
205,rock
206,disco
207,metal
208,blues
209,hiphop
210,metal
211,country
212,reggae
213,classical
214,rock
215,pop
216,disco
217,disco
218,hiphop
219,metal
220,jazz
221,classical
222,metal
223,metal
224,pop
225,country
226,hiphop
227,reggae
228,disco
229,blues
230,hiphop
231,pop
232,classical
233,metal
234,country
235,country
236,classical
237,hiphop
238,metal
239,classical
240,classical
241,classical
242,country
243,metal
244,pop
245,blues
246,classical
247,reggae
248,blues
249,metal
250,rock
251,disco
252,disco
253,classical
254,hiphop
255,reggae
256,jazz
257,jazz
258,disco
259,country
260,rock
261,classical
262,pop
263,disco
264,disco
265,blues
266,metal
267,disco
268,rock
269,pop
270,pop
271,rock
272,country
273,reggae
274,blues
275,blues
276,jazz
277,disco
278,jazz
279,pop
280,disco
281,rock
282,metal
283,jazz
284,classical
285,reggae
286,reggae
287,reggae
288,classical
289,metal
290,blues
291,classical
292,blues
293,pop
294,metal
295,disco
296,country
297,disco
298,rock
299,disco
300,reggae
301,disco
302,blues
303,hiphop
304,reggae
305,reggae
306,metal
307,rock
308,blues
309,reggae
310,reggae
311,hiphop
312,disco
313,rock
314,classical
315,hiphop
316,reggae
317,jazz
318,pop
319,rock
320,jazz
321,hiphop
322,pop
323,reggae
324,pop
325,country
326,hiphop
327,pop
328,classical
329,country
330,country
331,pop
332,pop
333,metal
334,jazz
335,jazz
336,pop
337,jazz
338,metal
339,disco
340,rock
341,hiphop
342,pop
343,metal
344,country
345,blues
346,country
347,blues
348,metal
349,metal
350,pop
351,classical
352,metal
353,reggae
354,rock
355,metal
356,reggae
357,blues
358,reggae
359,hiphop
360,hiphop
361,disco
362,disco
363,pop
364,country
365,disco
366,reggae
367,jazz
368,pop
369,jazz
370,reggae
371,hiphop
372,metal
373,country
374,country
375,classical
376,classical
377,hiphop
378,country
379,rock
380,hiphop
381,pop
382,pop
383,jazz
384,classical
385,rock
386,hiphop
387,classical
388,hiphop
389,reggae
390,country
391,disco
392,classical
393,disco
394,blues
395,metal
396,classical
397,hiphop
398,classical
399,jazz
400,country
401,jazz
402,disco
403,pop
404,classical
405,disco
406,metal
407,rock
408,country
409,classical
410,reggae
411,metal
412,pop
413,jazz
414,jazz
415,disco
416,rock
417,disco
418,pop
419,jazz
420,disco
421,blues
422,country
423,country
424,blues
425,classical
426,rock
427,reggae
428,classical
429,metal
430,pop
431,classical
432,metal
433,disco
434,pop
435,country
436,rock
437,metal
438,country
439,reggae
440,classical
441,metal
442,disco
443,jazz
444,classical
445,reggae
446,disco
447,rock
448,jazz
449,disco
450,classical
451,reggae
452,pop
453,reggae
454,country
455,disco
456,metal
457,rock
458,hiphop
459,disco
460,jazz
461,classical
462,country
463,pop
464,rock
465,rock
466,rock
467,reggae
468,classical
469,jazz
470,jazz
471,disco
472,country
473,reggae
474,pop
475,reggae
476,rock
477,pop
478,reggae
479,rock
480,disco
481,metal
482,metal
483,country
484,hiphop
485,disco
486,classical
487,classical
488,pop
489,blues
490,disco
491,country
492,classical
493,metal
494,classical
495,blues
496,reggae
497,country
498,reggae
499,metal
500,metal
501,blues
502,jazz
503,hiphop
504,jazz
505,reggae
506,classical
507,blues
508,metal
509,blues
510,jazz
511,classical
512,rock
513,reggae
514,metal
515,disco
516,disco
517,pop
518,blues
519,jazz
520,blues
521,classical
522,blues
523,hiphop
524,metal
525,hiphop
526,metal
527,pop
528,metal
529,disco
530,blues
531,disco
532,disco
533,classical
534,hiphop
535,hiphop
536,hiphop
537,blues
538,pop
539,rock
540,jazz
541,classical
542,pop
543,disco
544,metal
545,disco
546,reggae
547,country
548,hiphop
549,reggae
550,metal
551,classical
552,pop
553,blues
554,reggae
555,rock
556,pop
557,reggae
558,pop
559,country
560,hiphop
561,jazz
562,disco
563,rock
564,hiphop
565,jazz
566,metal
567,blues
568,disco
569,country
570,blues
571,hiphop
572,rock
573,classical
574,jazz
575,jazz
576,classical
577,blues
578,country
579,metal
580,classical
581,jazz
582,hiphop
583,blues
584,hiphop
585,reggae
586,hiphop
587,metal
588,jazz
589,reggae
590,disco
591,hiphop
592,jazz
593,pop
594,disco
595,hiphop
596,rock
597,blues
598,reggae
599,reggae
600,reggae
601,country
602,jazz
603,country
604,pop
605,metal
606,jazz
607,hiphop
608,blues
609,reggae
610,blues
611,classical
612,rock
613,blues
614,blues
615,classical
616,jazz
617,metal
618,hiphop
619,country
620,classical
621,metal
622,country
623,pop
624,classical
625,pop
626,metal
627,metal
628,disco
629,country
630,pop
631,country
632,pop
633,country
634,jazz
635,jazz
636,disco
637,country
638,metal
639,reggae
640,disco
641,reggae
642,jazz
643,jazz
644,reggae
645,metal
646,pop
647,rock
648,rock
649,reggae
650,country
651,reggae
652,country
653,reggae
654,rock
655,rock
656,jazz
657,jazz
658,reggae
659,classical
660,blues
661,hiphop
662,jazz
663,hiphop
664,classical
665,hiphop
666,blues
667,metal
668,hiphop
669,jazz
670,metal
671,disco
672,blues
673,jazz
674,metal
675,country
676,hiphop
677,country
678,country
679,rock
680,blues
681,metal
682,classical
683,pop
684,classical
685,blues
686,jazz
687,pop
688,blues
689,classical
690,rock
691,classical
692,pop
693,disco
694,classical
695,classical
696,classical
697,rock
698,pop
699,country
700,jazz
701,disco
702,hiphop
703,reggae
704,jazz
705,rock
706,hiphop
707,reggae
708,jazz
709,rock
710,jazz
711,pop
712,hiphop
713,hiphop
714,country
715,hiphop
716,country
717,pop
718,blues
719,jazz
720,reggae
721,country
722,country
723,blues
724,pop
725,jazz
726,reggae
727,rock
728,country
729,blues
730,country
731,reggae
732,rock
733,rock
734,country
735,reggae
736,pop
737,country
738,disco
739,hiphop
740,reggae
741,country
742,jazz
743,rock
744,blues
745,metal
746,jazz
747,disco
748,reggae
749,rock
750,blues
751,rock
752,blues
753,blues
754,pop
755,reggae
756,country
757,rock
758,metal
759,hiphop
760,rock
761,hiphop
762,classical
763,disco
764,reggae
765,hiphop
766,jazz
767,blues
768,blues
769,hiphop
770,jazz
771,rock
772,blues
773,disco
774,pop
775,reggae
776,rock
777,pop
778,rock
779,disco
780,reggae
781,rock
782,pop
783,metal
784,rock
785,country
786,blues
787,blues
788,rock
789,classical
790,reggae
791,hiphop
792,classical
793,rock
794,reggae
795,hiphop
796,jazz
797,blues
798,pop
799,country
800,pop
801,country
802,blues
803,pop
804,country
805,blues
806,classical
807,country
808,metal
809,blues
810,country
811,hiphop
812,disco
813,jazz
814,rock
815,rock
816,disco
817,metal
818,hiphop
819,reggae
820,hiphop
821,hiphop
822,classical
823,metal
824,pop
825,disco
826,jazz
827,rock
828,disco
829,reggae
830,country
831,pop
832,hiphop
833,metal
834,hiphop
835,country
836,rock
837,country
838,hiphop
839,metal
840,country
841,country
842,classical
843,reggae
844,metal
845,jazz
846,jazz
847,reggae
848,jazz
849,disco
850,jazz
851,rock
852,disco
853,metal
854,country
855,rock
856,metal
857,classical
858,pop
859,hiphop
860,metal
861,blues
862,country
863,hiphop
864,hiphop
865,rock
866,jazz
867,disco
868,hiphop
869,classical
870,pop
871,jazz
872,rock
873,hiphop
874,rock
875,blues
876,rock
877,hiphop
878,country
879,disco
880,country
881,metal
882,jazz
883,reggae
884,country
885,disco
886,reggae
887,blues
888,disco
889,country
890,metal
891,classical
892,disco
893,disco
894,blues
895,reggae
896,blues
897,pop
898,hiphop
899,metal
